"Year","r1","r2","r3"
"2000",30.07,28.26,27.93
"2001",24.62,NA,NA
"2002",75.34,54.99,27.17
"2004",34.58,31.12,27.69
"2005",56.82,40.04,24.85
"2006",34.74,30.07,28.99
"2007",31.78,29.53,26.23
"2008",30.72,26.88,NA
"2009",38.08,32.24,26.51
"2010",38.69,25.81,NA
"2011",42.96,25.44,25.16
"2012",44.37,42.38,33.42
"2013",35.27,33.84,32.65
"2014",29.92,28.55,24.57
"2015",58.22,45.68,41.86
"2016",30.52,NA,NA
"2017",35.85,21.8,NA
"2018",40.09,27.07,24.8
"2019",32.85,29.09,27.12
"2020",57.95,52.98,29.97
"2021",35.85,29.43,25.85
